task,agent,model,mode,completion_pct,runtime
Solar,Raw Codex,gpt-5.6-sol,ultra,53.13,00:42:16
Solar,Raw Codex,gpt-5.6-sol,xhigh,46.61,00:22:02
Solar,Raw Codex,gpt-5.5,xhigh,43.78,00:21:22
Solar,Bello,gpt-5.6-sol,ultra,71.30,07:39:17
Solar,Bello,gpt-5.6-sol,xhigh,66.50,04:26:04
Solar,Bello,gpt-5.5,xhigh,53.39,01:29:35
Samtools,Raw Codex,gpt-5.6-sol,ultra,51.86,00:47:07
Samtools,Raw Codex,gpt-5.6-sol,xhigh,38.11,00:37:24
Samtools,Raw Codex,gpt-5.5,xhigh,20.28,00:21:23
Samtools,Bello,gpt-5.6-sol,ultra,70.60,19:25:22
Samtools,Bello,gpt-5.6-sol,xhigh,51.93,05:39:13
Samtools,Bello,gpt-5.5,xhigh,44.21,02:30:01
Rumdl,Raw Codex,gpt-5.6-sol,ultra,55.60,02:09:59
Rumdl,Raw Codex,gpt-5.6-sol,xhigh,48.19,00:41:30
Rumdl,Raw Codex,gpt-5.5,xhigh,46.30,00:33:50
Rumdl,Bello,gpt-5.6-sol,ultra,80.19,07:44:12
Rumdl,Bello,gpt-5.6-sol,xhigh,61.74,03:53:35
Rumdl,Bello,gpt-5.5,xhigh,50.99,03:30:01
